project_code,project_display,project_scope_key,line_name,report_date,month,section_label,activity_raw,activity_norm,activity_group,core_activity,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks,source_file,source_sheet,configured_sheet,template_sheet,stringing_resolution_policy,project_key
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-29,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-29.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-29,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-29.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-29,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-29.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-30,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,2.92,2.92,24.28,164.398,,,TB 507 [MAIN] - DPR - 2026-06-30.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-30,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-30.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-30,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-30.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-30,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-30.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-30,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-30.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 605,TB 605,tb605,,2026-06-07,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing,stringing,Stringing,True,175.719,0.0,14.92,0.0,0.0,0.0,175.719,1,,TB 605 - DPR - 2026-06-07.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-09,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing,stringing,Stringing,True,175.719,0.0,0.0,0.0,0.0,0.0,175.719,1,,TB 605 - DPR - 2026-06-09.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-11,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing,stringing,Stringing,True,175.719,0.0,0.0,0.0,0.0,0.0,175.719,1,,TB 605 - DPR - 2026-06-11.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-12,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing,stringing,Stringing,True,175.719,0.0,0.0,0.0,0.0,0.0,175.719,1,,TB 605 - DPR - 2026-06-12.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-14,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing,stringing,Stringing,True,175.719,0.0,0.0,0.0,0.0,0.0,175.719,2,,TB 605 - DPR - 2026-06-14.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-15,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing,stringing,Stringing,True,175.719,0.0,0.0,0.0,0.0,0.0,175.719,2,,TB 605 - DPR - 2026-06-15.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-16,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing,stringing,Stringing,True,175.719,0.0,11.63,0.0,0.0,0.0,175.719,2,,TB 605 - DPR - 2026-06-16.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-17,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing,stringing,Stringing,True,175.719,0.0,11.63,0.0,0.0,0.0,175.719,2,,TB 605 - DPR - 2026-06-17.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-21,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-F/S,stringing,Stringing,True,175.719,,11.63,0.0,,0.0,175.719,,,TB 605 - DPR - 2026-06-21.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-21,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-P/O-R/S,stringing,Stringing,True,175.719,0.0,11.63,1.47,0.0,1.47,174.249,2.0,,TB 605 - DPR - 2026-06-21.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-22,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-F/S,stringing,Stringing,True,175.719,,11.63,0.442,,0.442,175.277,,,TB 605 - DPR - 2026-06-22.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-22,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-P/O-R/S,stringing,Stringing,True,175.719,0.0,11.63,1.47,0.0,1.47,174.249,3.0,1 additional team reached at site 65 Manpower ( Saludin),TB 605 - DPR - 2026-06-22.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-23,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-F/S,stringing,Stringing,True,175.719,,11.63,0.442,,0.442,175.277,,,TB 605 - DPR - 2026-06-23.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-23,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-P/O-R/S,stringing,Stringing,True,175.719,0.0,11.63,1.47,0.0,1.47,174.249,3.0,1 additional team reached at site 65 Manpower ( Saludin),TB 605 - DPR - 2026-06-23.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-24,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-F/S,stringing,Stringing,True,175.719,,11.63,1.47,1.03,1.47,174.249,,,TB 605 - DPR - 2026-06-24.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-24,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-P/O-R/S,stringing,Stringing,True,175.719,0.0,11.63,1.47,0.0,1.47,174.249,3.0,1 additional team reached at site 65 Manpower ( Saludin),TB 605 - DPR - 2026-06-24.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-28,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-F/S,stringing,Stringing,True,175.719,,11.63,1.47,0.0,1.47,174.249,,,TB 605 - DPR - 2026-06-28.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-28,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-P/O-R/S,stringing,Stringing,True,175.719,0.0,11.63,1.47,0.0,1.47,174.249,3.0,1 additional team reached at site 65 Manpower ( Saludin),TB 605 - DPR - 2026-06-28.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-29,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-F/S,stringing,Stringing,True,175.719,,11.63,1.47,0.0,1.47,174.249,,,TB 605 - DPR - 2026-06-29.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-29,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-P/O-R/S,stringing,Stringing,True,175.719,0.0,11.63,1.47,0.0,1.47,174.249,3.0,1 additional team reached at site 65 Manpower ( Saludin),TB 605 - DPR - 2026-06-29.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-30,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-F/S,stringing,Stringing,True,175.719,,11.63,1.47,0.0,1.47,174.249,,,TB 605 - DPR - 2026-06-30.xlsx,TB-605,TB-605,TB 605 Status,,TB605
TB 605,TB 605,tb605,,2026-06-30,2026-06-01,Progress Summary - Ratle Kiru Power Transmission Ltd,Stringing-P/O-R/S,stringing,Stringing,True,175.719,0.0,11.63,1.47,0.0,1.47,174.249,3.0,,TB 605 - DPR - 2026-06-30.xlsx,TB-605,TB-605,TB 605 Status,,TB605
