project_code,project_display,project_scope_key,line_name,report_date,month,section_label,activity_raw,activity_norm,activity_group,core_activity,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks,source_file,source_sheet,configured_sheet,template_sheet,stringing_resolution_policy,project_key
TA 421,TA 421,ta421,,2026-06-30,2026-06-01,Progress Status,Stringing -F/S,stringing,Stringing,True,121.342,31.816,23.239,11.927,,43.74299999999999,77.599,,,TA 421 - DPR - 2026-06-30.xlsx,Master Sheet,Master Sheet,TA 421 Status,prefer_final_else_stringing,TA421
TB 408,TB 408,tb408,,2026-06-01,2026-06-01,Project Name-,"Final Sag 
(Kms)",stringing,Stringing,True,191.392,125.9367,25.0,,,125.9367,31.6893,,"AP11A-12:- Completed
AP12-13:- WIP.",TB 408 - DPR - 2026-06-01.xlsx,Progress Summary,Progress Summary,TB 408 Status,,TB408
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-08,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-08,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,0.9516129999999876,0.0,62.15161299999999,1.84838700000001,,,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-09,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-09,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,1.568100999999992,0.0,62.76810099999999,1.231899000000006,,,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-13,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-13,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-15,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-15,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-17,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-17,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-18,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-18.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-18,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,,TB 501 - DPR - 2026-06-18.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-22,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-22.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-22,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,,TB 501 - DPR - 2026-06-22.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-25,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-25.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-25,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,,TB 501 - DPR - 2026-06-25.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-27,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,,TB 501 - DPR - 2026-06-27.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-27,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.0,61.2,2.799999999999997,2.46510099999999,0.0,63.66510099999999,0.3348990000000072,,,TB 501 - DPR - 2026-06-27.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-29,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.4839259999999994,0.0,6.714925999999999,2.525074000000001,,,TB 501 - DPR - 2026-06-29.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-29,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.03,61.2,2.799999999999997,2.825100999999989,0.0,64.02510099999999,0.004899000000008868,,,TB 501 - DPR - 2026-06-29.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 132kV,tb501132kv,132kV,2026-06-30,2026-06-01,132kV Line,Final Sag,stringing,Stringing,True,9.24,6.231,3.009,0.4839259999999994,0.0,6.714925999999999,2.525074000000001,,,TB 501 - DPR - 2026-06-30.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 501,TB 501 - 220kV,tb501220kv,220kV,2026-06-30,2026-06-01,220kV Line,Final Sag,stringing,Stringing,True,64.03,61.2,2.799999999999997,2.825100999999989,0.0,64.02510099999999,0.004899000000008868,,,TB 501 - DPR - 2026-06-30.xlsx,Summary,Summary,TB 501 Status,prefer_final_else_stringing,TB501
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-08,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-08.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-08,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-08.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-08,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-08.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-08,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-08.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
