project_key,project_code,line_name,section_label,report_date,source_file,source_sheet,configured_sheet,template_sheet,header_row_number,source_row_number,activity_raw,activity_norm,quantity_loa,quantity_estimated_or_total,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks
TA421,TA 421,,Progress Status,2026-06-17,TA 421 - DPR - 2026-06-17.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,1.644,,117.111,4.230999999999995,1.0,43A/0 - 43A/1  - WIP
TA421,TA 421,,Progress Status,2026-06-17,TA 421 - DPR - 2026-06-17.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,97.672,23.67,,,97.672,23.67,,
TA421,TA 421,,Progress Status,2026-06-18,TA 421 - DPR - 2026-06-18.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,116.433,4.912,2.977,0.485,119.41,1.931999999999988,2`,43B/0 -44/0 - WIP  & 40/0-41/0-42/0
TA421,TA 421,,Progress Status,2026-06-18,TA 421 - DPR - 2026-06-18.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,2.129,0.485,117.596,3.745999999999995,,
TA421,TA 421,,Progress Status,2026-06-18,TA 421 - DPR - 2026-06-18.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,97.672,23.67,,,97.672,23.67,,
TA421,TA 421,,Progress Status,2026-06-21,TA 421 - DPR - 2026-06-21.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,116.433,4.912,2.977,,119.41,1.931999999999988,,
TA421,TA 421,,Progress Status,2026-06-21,TA 421 - DPR - 2026-06-21.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,2.129,,117.596,3.745999999999995,2.0,43B/0 -44/0 - WIP  & 40/0-41/0-42/0 - 1.475 Km
TA421,TA 421,,Progress Status,2026-06-21,TA 421 - DPR - 2026-06-21.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,97.672,23.67,,,97.672,23.67,1.0,WIP - 35/0 - 36/0
TA421,TA 421,,Progress Status,2026-06-23,TA 421 - DPR - 2026-06-23.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,116.433,4.912,2.977,,119.41,1.931999999999988,,
TA421,TA 421,,Progress Status,2026-06-23,TA 421 - DPR - 2026-06-23.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,2.129,,117.596,3.745999999999995,2.0,43B/0 -44/0 - WIP  & 40/0-41/0-42/0 - 1.475 Km  [ 41/0 - Row ]  & 43A/1 - 43B/0
