report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-09,,TOWER ERECTION,25.0,2.0,405.0,407.0,TA 506 - DPR - 2026-06-09.xlsx,DPR_TA-506
2026-06-10,,TOWER ERECTION,25.0,2.0,405.0,407.0,TA 506 - DPR - 2026-06-10.xlsx,DPR_TA-506
2026-06-11,,TOWER ERECTION,25.0,4.0,405.0,409.0,TA 506 - DPR - 2026-06-11.xlsx,DPR_TA-506
2026-06-13,,TOWER ERECTION,25.0,5.0,405.0,410.0,TA 506 - DPR - 2026-06-13.xlsx,DPR_TA-506
2026-06-16,,TOWER ERECTION,25.0,6.0,405.0,411.0,TA 506 - DPR - 2026-06-16.xlsx,DPR_TA-506
2026-06-17,,TOWER ERECTION,25.0,6.0,405.0,411.0,TA 506 - DPR - 2026-06-17.xlsx,DPR_TA-506
2026-06-18,,TOWER ERECTION,25.0,7.0,405.0,412.0,TA 506 - DPR - 2026-06-18.xlsx,DPR_TA-506
2026-06-19,,TOWER ERECTION,25.0,8.0,405.0,413.0,TA 506 - DPR - 2026-06-19.xlsx,DPR_TA-506
2026-06-22,,TOWER ERECTION,25.0,11.0,405.0,416.0,TA 506 - DPR - 2026-06-22.xlsx,DPR_TA-506
2026-06-23,,TOWER ERECTION,25.0,13.0,405.0,418.0,TA 506 - DPR - 2026-06-23.xlsx,DPR_TA-506
2026-06-24,,TOWER ERECTION,25.0,13.0,405.0,418.0,TA 506 - DPR - 2026-06-24.xlsx,DPR_TA-506
2026-06-25,,TOWER ERECTION,25.0,14.0,405.0,419.0,TA 506 - DPR - 2026-06-25.xlsx,DPR_TA-506
2026-06-26,,TOWER ERECTION,25.0,14.0,405.0,419.0,TA 506 - DPR - 2026-06-26.xlsx,DPR_TA-506
2026-06-27,,TOWER ERECTION,25.0,15.0,405.0,420.0,TA 506 - DPR - 2026-06-27.xlsx,DPR_TA-506
2026-06-30,,TOWER ERECTION,25.0,16.0,405.0,421.0,TA 506 - DPR - 2026-06-30.xlsx,DPR_TA-506
