project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TB412,2026-06-01,20/0,DD+0,Rang,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,400 KV LOOP OUT
TB412,2026-06-04,27/0,DB+3,Pinki,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,400 KV LOOP IN
TB412,2026-06-05,20/1,DA+6,Rang,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,400 KV LOOP IN
TB412,2026-06-05,54/0,DD+3,Dhruvika,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,220 SZ Chapra-Gopalganj
TB412,2026-06-05,59/0,DD+0,Sanjeev,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,220 SZ Chapra-Gopalganj
TB412,2026-06-07,119/0,DD+3,Exel Power,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,220 SZ Chapra-Gopalganj
TB412,2026-06-07,59/1,DA+3,Sanjeev,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,220 SZ Chapra-Gopalganj
TB412,2026-06-10,101/2,DA+0,Reyansh,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,220 SZ Chapra-Gopalganj
TB412,2026-06-10,11/3,DA+0,Rang,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,400 KV LOOP IN
TB412,2026-06-10,43/0,DD+3,Nirajan,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,400 KV LOOP OUT
TB412,2026-06-10,59/2,DA+3,Sanjeev,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,220 SZ Chapra-Gopalganj
TB412,2026-06-11,58/0,DC+0,Dhruvika,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,220 SZ Chapra-Gopalganj
TB412,2026-06-13,101/3,DA+0,Reyansh,COMPLETED,TB 412 - DPR - 2026-06-24.xlsx,WIP,220 SZ Chapra-Gopalganj
