project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TA509,2026-06-02,21/0,DC2+0,Jwala Singh,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-07,41/1,DA+6,Amit Construction,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-08,24/5,DA(-)3,Jwala Singh,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-08,39/10,DA+0,Jwala Singh 2,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-13,24/4,DA(-)3,Jwala Singh,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-13,39/7,DA+0,Jwala Singh 2,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-13,41/2,DA(-)1.5,Amit Construction,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-18,39/11,DA+3,Jwala Singh 2,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-20,41/3,DA+1.5,Amit Construction,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-22,3/0,DD45+3,Jwala Singh,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
TA509,2026-06-27,41/4,DA+3,Amit Construction,COMPLETED,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,
