project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TB608,2026-06-02,103/0,C(15-22)+00,Dnt Industries,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-09,79/1,A(00-02)+09,Ratul Ali,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-12,9/1,A(00-02)+06,Aahana Construction,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-14,132/0,D(45-60)+03,Jakir Hussain,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-14,90/0,D(30-45)+00,Ismail Hossain,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-16,50/0,C(15-22)+09,Ratul Ali,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-17,111/0,C(15-22)+00,Dnt Industries,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-17,43/0,D(30-45)+03,Samar Gaji,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-19,79/0,C(15-22)+03,Ratul Ali,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
TB608,2026-06-28,94/0,C(15-30)+06,Ismail Hossain,,TB 608 - DPR - 2026-06-28.xlsm,WIP-ERC,WIP-ERC
