report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-08,,Tower Erection,25.0,1.0,71.0,72.0,TA 601 - DPR - 2026-06-08.xlsx,Master Sheet
2026-06-10,,Tower Erection,25.0,1.0,71.0,72.0,TA 601 - DPR - 2026-06-10.xlsx,Master Sheet
2026-06-11,,Tower Erection,25.0,1.0,71.0,72.0,TA 601 - DPR - 2026-06-11.xlsx,Master Sheet
2026-06-14,,Tower Erection,25.0,3.0,71.0,74.0,TA 601 - DPR - 2026-06-14.xlsx,Master Sheet
2026-06-15,,Tower Erection,25.0,3.0,71.0,74.0,TA 601 - DPR - 2026-06-15.xlsx,Master Sheet
2026-06-16,,Tower Erection,25.0,4.0,71.0,75.0,TA 601 - DPR - 2026-06-16.xlsx,Master Sheet
2026-06-17,,Tower Erection,25.0,4.0,71.0,75.0,TA 601 - DPR - 2026-06-17.xlsx,Master Sheet
2026-06-18,,Tower Erection,25.0,5.0,71.0,76.0,TA 601 - DPR - 2026-06-18.xlsx,Master Sheet
2026-06-22,,Tower Erection,25.0,8.0,71.0,79.0,TA 601 - DPR - 2026-06-22.xlsx,Master Sheet
2026-06-23,,Tower Erection,25.0,10.0,71.0,81.0,TA 601 - DPR - 2026-06-23.xlsx,Master Sheet
2026-06-24,,Tower Erection,25.0,10.0,71.0,81.0,TA 601 - DPR - 2026-06-24.xlsx,Master Sheet
2026-06-25,,Tower Erection,25.0,12.0,71.0,83.0,TA 601 - DPR - 2026-06-25.xlsx,Master Sheet
2026-06-27,,Tower Erection,25.0,13.0,71.0,84.0,TA 601 - DPR - 2026-06-27.xlsx,Master Sheet
2026-06-29,,Tower Erection,25.0,16.0,71.0,87.0,TA 601 - DPR - 2026-06-29.xlsx,Master Sheet
2026-06-30,,Tower Erection,25.0,17.0,71.0,88.0,TA 601 - DPR - 2026-06-30.xlsx,Master Sheet
