report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-09,,Tower Erection (Nos),44.0,10.0,235.0,245.0,TA 414 - DPR - 2026-06-09.xlsx,VNTL - KEC
2026-06-10,,Tower Erection (Nos),44.0,10.0,235.0,245.0,TA 414 - DPR - 2026-06-10.xlsx,VNTL - KEC
2026-06-15,,Tower Erection (Nos),44.0,14.0,235.0,249.0,TA 414 - DPR - 2026-06-15.xlsx,VNTL - KEC
2026-06-16,,Tower Erection (Nos),44.0,17.0,235.0,252.0,TA 414 - DPR - 2026-06-16.xlsx,VNTL - KEC
2026-06-17,,Tower Erection (Nos),44.0,18.0,235.0,253.0,TA 414 - DPR - 2026-06-17.xlsx,VNTL - KEC
2026-06-18,,Tower Erection (Nos),44.0,20.0,235.0,255.0,TA 414 - DPR - 2026-06-18.xlsx,VNTL - KEC
2026-06-22,,Tower Erection (Nos),44.0,24.0,235.0,259.0,TA 414 - DPR - 2026-06-22.xlsx,VNTL - KEC
2026-06-24,,Tower Erection (Nos),44.0,25.0,235.0,260.0,TA 414 - DPR - 2026-06-24.xlsx,VNTL - KEC
2026-06-26,,Tower Erection (Nos),44.0,25.0,235.0,260.0,TA 414 - DPR - 2026-06-26.xlsx,VNTL - KEC
2026-06-29,,Tower Erection (Nos),44.0,30.0,235.0,265.0,TA 414 - DPR - 2026-06-29.xlsx,VNTL - KEC
