project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TA414,2026-06-01,232/0,DB1+0,Mukesh Mahto,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-02,217/5,DA+0,Rahul Kumar,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-04,151/0,DD60+6,Dk Verma,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-05,133/1,DA+0,Anannya Traders,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-05,237/0,DB1+25,Dildar Electricals 3,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-05,244/0,DD45+0,Nasiruddin 2,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-06,234/0,DD60+18,Lalan Mehta,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-07,225/7,DA+6,Modina India 1,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-07,244/3,DA+3,Mithun Kumar,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-08,159/0,DD60+9,Subhash,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-11,217/0,DC2+9,Rahul Kumar,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-13,153/1,DA+3,Dk Verma,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-14,139/3,DB1+0,Anannya Traders,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-14,210/0,DB2+9,Zimmi Khatun,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-15,217/1,DA+3,Rahul Kumar,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-15,230A/0,DD45+0,Mukesh Mahto,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-15,243/3,DA+0,Rupesh Kumar,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-16,250/1,DA+9,Mithun Kumar,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-17,153A/0,DD45+9,Shubash,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-17,250/0,DD45+3,Nasuruddin,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-18,235/1,DA+9,Lalan Mehta,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-20,206/0,DC2+0,Zimi Khatun,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-22,216/1,DA+9,Rahul Kumar,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-22,235/4,DA+3,Dildar Electricals 3,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-23,232/2,DA+0,Modina India 1,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-26,213/0,DD60+35,Dk Verma 2,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-26,249/0,DD60+3,Mithun Kumar,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-27,225/6,DA+0,Lalan Mehta,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-28,225/4,DA+3,Khurdush Ali,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
TA414,2026-06-28,256/1,DA+9,Rupesh,Completed,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,
