report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-07,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-07.xlsx,Master Sheet
2026-06-10,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-10.xlsx,Master Sheet
2026-06-11,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-11.xlsx,Master Sheet
2026-06-16,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-16.xlsx,Master Sheet
2026-06-17,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-17.xlsx,Master Sheet
2026-06-18,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-18.xlsx,Master Sheet
2026-06-21,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-21.xlsx,Master Sheet
2026-06-23,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-23.xlsx,Master Sheet
2026-06-25,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-25.xlsx,Master Sheet
2026-06-29,,Tower Erection,,0.0,309.0,309.0,TA 421 - DPR - 2026-06-29.xlsx,Master Sheet
2026-06-30,,Tower Erection,30.0,18.0,238.0,256.0,TA 421 - DPR - 2026-06-30.xlsx,Master Sheet
