report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-07,,Tower Erection,80.0,9.0,203.0,212.0,TB 605 - DPR - 2026-06-07.xlsx,TB-605
2026-06-09,,Tower Erection,0.0,11.0,203.0,214.0,TB 605 - DPR - 2026-06-09.xlsx,TB-605
2026-06-11,,Tower Erection,0.0,15.0,203.0,218.0,TB 605 - DPR - 2026-06-11.xlsx,TB-605
2026-06-12,,Tower Erection,0.0,16.0,203.0,219.0,TB 605 - DPR - 2026-06-12.xlsx,TB-605
2026-06-14,,Tower Erection,0.0,21.0,203.0,224.0,TB 605 - DPR - 2026-06-14.xlsx,TB-605
2026-06-15,,Tower Erection,0.0,23.0,203.0,226.0,TB 605 - DPR - 2026-06-15.xlsx,TB-605
2026-06-16,,Tower Erection,60.0,24.0,203.0,227.0,TB 605 - DPR - 2026-06-16.xlsx,TB-605
2026-06-17,,Tower Erection,60.0,26.0,203.0,229.0,TB 605 - DPR - 2026-06-17.xlsx,TB-605
2026-06-21,,Tower Erection,60.0,31.0,203.0,234.0,TB 605 - DPR - 2026-06-21.xlsx,TB-605
2026-06-22,,Tower Erection,60.0,34.0,203.0,237.0,TB 605 - DPR - 2026-06-22.xlsx,TB-605
2026-06-23,,Tower Erection,60.0,34.0,203.0,237.0,TB 605 - DPR - 2026-06-23.xlsx,TB-605
2026-06-24,,Tower Erection,60.0,36.0,203.0,239.0,TB 605 - DPR - 2026-06-24.xlsx,TB-605
2026-06-28,,Tower Erection,60.0,42.0,203.0,245.0,TB 605 - DPR - 2026-06-28.xlsx,TB-605
2026-06-29,,Tower Erection,60.0,44.0,203.0,247.0,TB 605 - DPR - 2026-06-29.xlsx,TB-605
2026-06-30,,Tower Erection,60.0,45.0,203.0,248.0,TB 605 - DPR - 2026-06-30.xlsx,TB-605
