report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-08,132kV,Tower Erection,5.0,0.0,31.0,31.0,TB 501 - DPR - 2026-06-08.xlsx,Summary
2026-06-08,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-08.xlsx,Summary
2026-06-09,132kV,Tower Erection,5.0,0.0,31.0,31.0,TB 501 - DPR - 2026-06-09.xlsx,Summary
2026-06-09,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-09.xlsx,Summary
2026-06-13,132kV,Tower Erection,5.0,1.0,31.0,32.0,TB 501 - DPR - 2026-06-13.xlsx,Summary
2026-06-13,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-13.xlsx,Summary
2026-06-15,132kV,Tower Erection,5.0,1.0,31.0,32.0,TB 501 - DPR - 2026-06-15.xlsx,Summary
2026-06-15,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-15.xlsx,Summary
2026-06-17,132kV,Tower Erection,5.0,1.0,31.0,32.0,TB 501 - DPR - 2026-06-17.xlsx,Summary
2026-06-17,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-17.xlsx,Summary
2026-06-18,132kV,Tower Erection,5.0,1.0,31.0,32.0,TB 501 - DPR - 2026-06-18.xlsx,Summary
2026-06-18,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-18.xlsx,Summary
2026-06-22,132kV,Tower Erection,5.0,2.0,31.0,33.0,TB 501 - DPR - 2026-06-22.xlsx,Summary
2026-06-22,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-22.xlsx,Summary
2026-06-25,132kV,Tower Erection,5.0,3.0,31.0,34.0,TB 501 - DPR - 2026-06-25.xlsx,Summary
2026-06-25,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-25.xlsx,Summary
2026-06-27,132kV,Tower Erection,5.0,3.0,31.0,34.0,TB 501 - DPR - 2026-06-27.xlsx,Summary
2026-06-27,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-27.xlsx,Summary
2026-06-29,132kV,Tower Erection,5.0,3.0,31.0,34.0,TB 501 - DPR - 2026-06-29.xlsx,Summary
2026-06-29,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-29.xlsx,Summary
2026-06-30,132kV,Tower Erection,5.0,3.0,31.0,34.0,TB 501 - DPR - 2026-06-30.xlsx,Summary
2026-06-30,220kV,Tower Erection,0.0,0.0,199.0,199.0,TB 501 - DPR - 2026-06-30.xlsx,Summary
