report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-09,,| TOWER ERECTION,,9.0,52.0,61.0,TA 602 - DPR - 2026-06-09.xlsx,DPR Sheet
2026-06-11,,TOWER ERECTION,,11.0,52.0,63.0,TA 602 - DPR - 2026-06-11.xlsx,DPR Sheet
2026-06-12,,TOWER ERECTION,,12.0,52.0,64.0,TA 602 - DPR - 2026-06-12.xlsx,DPR Sheet
2026-06-15,,TOWER ERECTION,,17.0,52.0,69.0,TA 602 - DPR - 2026-06-15.xlsx,DPR Sheet
2026-06-15,,Tower Erection,35.0,17.0,52.0,69.0,TA 602 - DPR - 2026-06-15.xlsx,800kV HVDC TA-602
2026-06-16,,Tower Erection,35.0,17.0,52.0,69.0,TA 602 - DPR - 2026-06-16.xlsx,800kV HVDC TA-602
2026-06-17,,Tower Erection,35.0,18.0,52.0,70.0,TA 602 - DPR - 2026-06-17.xlsx,800kV HVDC TA-602
2026-06-18,,Tower Erection,35.0,18.0,52.0,70.0,TA 602 - DPR - 2026-06-18.xlsx,800kV HVDC TA-602
2026-06-21,,Tower Erection,35.0,21.0,52.0,73.0,TA 602 - DPR - 2026-06-21.xlsx,800kV HVDC TA-602
2026-06-22,,Tower Erection,35.0,21.0,52.0,73.0,TA 602 - DPR - 2026-06-22.xlsx,800kV HVDC TA-602
2026-06-23,,Tower Erection,35.0,21.0,52.0,73.0,TA 602 - DPR - 2026-06-23.xlsx,800kV HVDC TA-602
2026-06-24,,Tower Erection,35.0,21.0,52.0,73.0,TA 602 - DPR - 2026-06-24.xlsx,800kV HVDC TA-602
2026-06-26,,Tower Erection,35.0,25.0,52.0,77.0,TA 602 - DPR - 2026-06-26.xlsx,800kV HVDC TA-602
