project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TA602,2026-06-01,111/5,A+6,M S Amrendra Prasad,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-02,124/3,A+9,M S Gagan Entp,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-03,123/1,A+0,M S Gagan Entp,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-03,127/3,A+0,M S Jwala,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-06,124/2,A+6,M S Gagan Entp,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-07,110/3,A+0,M S Amrendra Prasad,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-07,123/2,A+3,M S Gagan Entp 2,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-07,127/1,A+3,M S Jwala,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-08,108/1,A+9,M S Mukesh Kumar Verma,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-11,124/1,A+6,M S Gagan Entp 2,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-11,127/2,A+0,M S Jwala Singh,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-12,107/1,A+0,M S Mukesh Kumar Verma,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-13,123/0,B2+0,M S Gagan Entp 3,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-14,123/3,A+9,M S Gagan Entp 2,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-14,126/7,A+0,M S Jwala Singh,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-15,121/9,A+0,M S Gagan Entp 2,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-15,89/9,A+0,M S Amrendra Prasad,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-17,107/4,A+3,M S Mukesh Kumar Verma,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-19,116/0,C1+3,M S Gagan Entp 2,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-19,89/6,A+0,M S Amrendra Prasad,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-21,127/0,B1+0,M S Jwala Singh,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-25,116/3,A+9,M S Jwala,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-25,89/7,A+0,M S Amrendra Prasad,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-26,108/0,C1+9,M S Mukesh Kumar Verma,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-26,129A/5,A+9,M S Gagan Entp,C,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
TA602,2026-06-26,89/5,A+3,M S Amrendra Prasad,WIP,TA 602 - DPR - 2026-06-26.xlsx,Erection ,
