report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-16,,Erection (Loc),30.0,7.0,208.0,215.0,TA 509 - DPR - 2026-06-16.xlsx,SUMMARY
2026-06-17,,Erection (Loc),30.0,7.0,208.0,215.0,TA 509 - DPR - 2026-06-17.xlsx,SUMMARY
2026-06-18,,Erection (Loc),30.0,8.0,208.0,216.0,TA 509 - DPR - 2026-06-18.xlsx,SUMMARY
2026-06-21,,Erection (Loc),30.0,9.0,208.0,217.0,TA 509 - DPR - 2026-06-21.xlsx,SUMMARY
2026-06-22,,Erection (Loc),30.0,10.0,208.0,218.0,TA 509 - DPR - 2026-06-22.xlsx,SUMMARY
2026-06-23,,Erection (Loc),30.0,10.0,208.0,218.0,TA 509 - DPR - 2026-06-23.xlsx,SUMMARY
2026-06-25,,Erection (Loc),30.0,10.0,208.0,218.0,TA 509 - DPR - 2026-06-25.xlsx,SUMMARY
2026-06-28,,Erection (Loc),30.0,11.0,208.0,219.0,TA 509 - DPR - 2026-06-28.xlsx,SUMMARY
2026-06-29,,Erection (Loc),30.0,11.0,208.0,219.0,TA 509 - DPR - 2026-06-29.xlsx,SUMMARY
