project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TA504,2026-06-11,13/2,DA+0,Anjali Enterprises,Completed,TA 504 - DPR - 2026-06-30.xlsx,Erection compiled,
TA504,2026-06-11,13/2,DA+0,Anjali Enterprises,,TA 504 - DPR - 2026-06-30.xlsx,Tightening,
TA504,2026-06-21,7/2,DA+3,Anjali Enterprises,Completed,TA 504 - DPR - 2026-06-30.xlsx,Erection compiled,
TA504,2026-06-21,7/2,DA+3,Anjali Enterprises,,TA 504 - DPR - 2026-06-30.xlsx,Tightening,
TA504,2026-06-25,25/0,DC1+9,Pankaj,Completed,TA 504 - DPR - 2026-06-30.xlsx,Erection compiled,
TA504,2026-06-29,4/1,DA+0,Anjali Enterprises,Completed,TA 504 - DPR - 2026-06-30.xlsx,Erection compiled,
