project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TA506,2026-06-03,196/0,DD60+6,Roshan Engineering,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-03,196/0,DD60+6,Roshan Engineering,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-06,44/1,DA+0,Kajal Construction,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-06,44/1,DA+0,Kajal Construction,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-10,23/0,DD60+18,Amar Singh,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-10,23/0,DD60+18,Amar Singh,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-10,44/0,DC2+3,Kajal Construction,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-10,44/0,DC2+3,Kajal Construction,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-11,197/0,DD60+6,Roshan Engineering,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-11,197/0,DD60+6,Roshan Engineering,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-14,36/0,DC1-3,Kajal Construction,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-14,36/0,DC1-3,Kajal Construction,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-17,137/0,DD60+18,V Recycle,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-17,137/0,DD60+18,V Recycle,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-18,40/0,DD45+0,Kajal Construction,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-18,40/0,DD45+0,Kajal Construction,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-21,188/0,DC2+18,Roshan Engineering,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-21,188/0,DC2+18,Roshan Engineering,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-21,42/3,DA+1.5,Kajal Construction,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-21,42/3,DA+1.5,Kajal Construction,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-21,79/1,DA+0,Kajal Construction 2,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-21,79/1,DA+0,Kajal Construction 2,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-22,145/0,DB2+6,V Recycle,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-22,145/0,DB2+6,V Recycle,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-22,24/0,DD60+18,Amar Singh,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-22,24/0,DD60+18,Amar Singh,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-24,47/2,DA+9,Kajal Construction,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-24,47/2,DA+9,Kajal Construction,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-26,197/1,DA+3,Roshan Engineering,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-26,197/1,DA+3,Roshan Engineering,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
TA506,2026-06-27,80/0,DD45+0,Kajal Construction 2,Completed,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled,
TA506,2026-06-27,80/0,DD45+0,Kajal Construction 2,COMPLETED,TA 506 - DPR - 2026-06-30.xlsx,Tightening,
